X-centre values,Y-centre values,Z-slice position,Categories
1334.0,1086.0,1,1
1603.0,1096.0,1,12
1501.0,1094.0,1,124
796.0,1092.0,1,124
1224.0,1090.0,1,1
1831.0,1095.0,1,1
1194.0,1094.0,1,1
1152.0,1096.0,1,14
1644.0,1100.0,1,124
1761.0,1095.0,1,14
826.0,1098.0,1,12
998.0,1099.0,1,124
891.0,1098.0,1,1
699.0,1098.0,1,14
1330.0,1099.0,1,1
1798.0,1102.0,1,1
610.0,1102.0,1,12
935.0,1106.0,1,1
781.0,1106.0,1,14
1348.0,1107.0,1,14
1289.0,1108.0,1,12
1669.0,1113.0,1,1
1551.0,1112.0,1,124
1707.0,1110.0,1,1
686.0,1112.0,1,12
1774.0,1112.0,1,14
1198.0,1114.0,1,1
1652.0,1116.0,1,12
815.0,1116.0,1,14
1838.0,1115.0,1,1
1675.0,1124.0,1,1
1032.0,1122.0,1,1
793.0,1122.0,1,1
1622.0,1124.0,1,1
1010.0,1126.0,1,12
1817.0,1127.0,1,1
940.0,1129.0,1,14
1508.0,1130.0,1,1
1573.0,1129.0,1,124
1600.0,1137.0,1,1
741.0,1144.0,1,124
848.0,1138.0,1,1
1016.0,1138.0,1,1
1259.0,1144.0,1,124
946.0,1138.0,1,1
1800.0,1140.0,1,1
343.0,1143.0,1,124
915.0,1143.0,1,12
1831.0,1143.0,1,14
882.0,1145.0,1,124
783.0,1145.0,1,1
797.0,1146.0,1,124
1032.0,1146.0,1,14
1712.0,1152.0,1,1
1746.0,1150.0,1,1
1056.0,1151.0,1,1
1729.0,1154.0,1,14
1016.0,1156.0,1,1
1602.0,1154.0,1,1
1280.0,1160.0,1,14
578.0,1156.0,1,12
1235.0,1156.0,1,1
956.0,1160.0,1,1
1466.0,1158.0,1,124
1865.0,1159.0,1,1
1249.0,1160.0,1,1
850.0,1168.0,1,12
1270.0,1166.0,1,1
1408.0,1164.0,1,14
800.0,1168.0,1,14
882.0,1170.0,1,12
520.0,1171.0,1,12
1298.0,1173.0,1,1
1204.0,1174.0,1,14
1493.0,1177.0,1,1
1786.0,1174.0,1,12
1081.0,1178.0,1,14
964.0,1180.0,1,1
815.0,1183.0,1,14
934.0,1184.0,1,1
1324.0,1182.0,1,1
1246.0,1182.0,1,1
1597.0,1187.0,1,1
1872.0,1183.0,1,1
530.0,1185.0,1,12
1578.0,1186.0,1,1
1034.0,1186.0,1,1
1578.0,1195.0,1,14
1799.0,1189.0,1,1
1668.0,1191.0,1,14
1305.0,1190.0,1,1
1252.0,1192.0,1,124
1478.0,1194.0,1,1
798.0,1196.0,1,14
962.0,1198.0,1,1
1463.0,1200.0,1,1
1746.0,1198.0,1,1
1830.0,1200.0,1,1
849.0,1202.0,1,14
988.0,1203.0,1,14
1008.0,1206.0,1,14
594.0,1204.0,1,124
1142.0,1204.0,1,12
366.0,1207.0,1,1
825.0,1206.0,1,1
863.0,1212.0,1,1
1391.0,1223.0,1,1
1872.0,1212.0,1,124
915.0,1211.0,1,1
1385.0,1214.0,1,14
1688.0,1212.0,1,124
1350.0,1216.0,1,124
1708.0,1217.0,1,12
1033.0,1218.0,1,1
1411.0,1219.0,1,1
371.0,1220.0,1,12
600.0,1222.0,1,124
1330.0,1222.0,1,1
1310.0,1229.0,1,1
762.0,1225.0,1,1
962.0,1226.0,1,1
1396.0,1230.0,1,14
1524.0,1225.0,1,1
1039.0,1233.0,1,14
1066.0,1230.0,1,1
1716.0,1230.0,1,1
1449.0,1231.0,1,12
1778.0,1234.0,1,1
1602.0,1237.0,1,14
1834.0,1242.0,1,1
1549.0,1240.0,1,1
1687.0,1238.0,1,1
484.0,1244.0,1,12
1068.0,1242.0,1,14
955.0,1240.0,1,1
1668.0,1241.0,1,124
854.0,1245.0,1,1
913.0,1245.0,1,1
1040.0,1247.0,1,1
1004.0,1250.0,1,12
938.0,1257.0,1,14
1347.0,1257.0,1,1
1557.0,1251.0,1,1
1790.0,1254.0,1,1
1608.0,1257.0,1,14
878.0,1258.0,1,1
1504.0,1260.0,1,124
1681.0,1262.0,1,1
854.0,1262.0,1,12
1138.0,1262.0,1,14
1175.0,1264.0,1,1
1746.0,1265.0,1,1
1256.0,1271.0,1,12
1014.0,1268.0,1,1
1666.0,1272.0,1,1
1040.0,1277.0,1,14
1835.0,1269.0,1,1
1671.0,1279.0,1,1
674.0,1280.0,1,12
1000.0,1280.0,1,12
1130.0,1285.0,1,1
1469.0,1279.0,1,124
1581.0,1281.0,1,1
815.0,1284.0,1,1
1290.0,1286.0,1,14
965.0,1288.0,1,14
1727.0,1288.0,1,1
1046.0,1291.0,1,1
920.0,1297.0,1,14
998.0,1294.0,1,12
1017.0,1295.0,1,1
1556.0,1298.0,1,1
854.0,1302.0,1,14
1800.0,1300.0,1,14
1532.0,1300.0,1,1
1640.0,1302.0,1,1
410.0,1304.0,1,1
1418.0,1305.0,1,14
1769.0,1307.0,1,1
834.0,1312.0,1,12
1118.0,1310.0,1,1
1450.0,1309.0,1,1
1624.0,1316.0,1,1
1431.0,1311.0,1,1
1398.0,1314.0,1,14
1102.0,1318.0,1,14
1138.0,1314.0,1,1
1253.0,1320.0,1,12
1674.0,1316.0,1,12
1028.0,1314.0,1,1
1227.0,1316.0,1,14
947.0,1319.0,1,1
1184.0,1320.0,1,12
1644.0,1322.0,1,1
1075.0,1321.0,1,14
1488.0,1324.0,1,14
1774.0,1326.0,1,1
862.0,1338.0,1,14
1170.0,1327.0,1,1
1540.0,1330.0,1,1
1810.0,1335.0,1,14
698.0,1337.0,1,1
887.0,1337.0,1,1
454.0,1339.0,1,124
470.0,1336.0,1,1
1044.0,1338.0,1,1
1098.0,1343.0,1,1
1144.0,1342.0,1,1
1294.0,1346.0,1,1
1012.0,1346.0,1,1
922.0,1348.0,1,12
966.0,1347.0,1,14
1737.0,1347.0,1,12
1709.0,1350.0,1,1
1059.0,1350.0,1,1
871.0,1351.0,1,1
1237.0,1351.0,1,1
1650.0,1352.0,1,1
1762.0,1353.0,1,14
1612.0,1356.0,1,14
942.0,1364.0,1,14
1289.0,1360.0,1,1
1198.0,1362.0,1,12
962.0,1369.0,1,14
1337.0,1366.0,1,1
1450.0,1370.0,1,14
1129.0,1374.0,1,14
1188.0,1375.0,1,1
1499.0,1380.0,1,1
1239.0,1375.0,1,14
1343.0,1377.0,1,1
975.0,1380.0,1,14
898.0,1383.0,1,12
1092.0,1382.0,1,1
701.0,1382.0,1,12
728.0,1382.0,1,14
991.0,1383.0,1,14
888.0,1386.0,1,14
925.0,1385.0,1,1
1146.0,1391.0,1,14
1692.0,1389.0,1,14
1461.0,1397.0,1,1
1621.0,1402.0,1,1
1195.0,1408.0,1,1
1496.0,1401.0,1,1
1104.0,1406.0,1,1
1047.0,1410.0,1,1
1574.0,1410.0,1,14
986.0,1415.0,1,1
934.0,1414.0,1,1
1472.0,1415.0,1,1
1732.0,1416.0,1,1
873.0,1418.0,1,124
1650.0,1420.0,1,14
1076.0,1424.0,1,14
1257.0,1424.0,1,1
1010.0,1428.0,1,14
1182.0,1426.0,1,1
1610.0,1433.0,1,1
744.0,1436.0,1,12
1478.0,1431.0,1,1
670.0,1431.0,1,14
1652.0,1431.0,1,1
1516.0,1438.0,1,1
965.0,1436.0,1,14
